"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.07651019096374512)","('a', 'DOWN', 0.11544108390808105)","('a', 'UP', 0.20351886749267578)","('s', 'DOWN', 0.3268442153930664)","('s', 'UP', 0.37317395210266113)","('s', 'DOWN', 0.4580390453338623)","('s', 'UP', 0.537621021270752)","('W', 'DOWN', 0.6675901412963867)","('W', 'UP', 0.7515671253204346)","('0', 'DOWN', 0.8677768707275391)","('0', 'UP', 0.939784049987793)","('r', 'DOWN', 0.9940910339355469)","('r', 'UP', 1.0628819465637207)","('d', 'DOWN', 1.1661040782928467)","('d', 'UP', 1.253227949142456)","('!', 'DOWN', 1.4466722011566162)","('!', 'UP', 1.522599220275879)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.0597689151763916)","('a', 'DOWN', 0.11150503158569336)","('a', 'UP', 0.19092607498168945)","('s', 'DOWN', 0.3089599609375)","('s', 'UP', 0.3657650947570801)","('s', 'DOWN', 0.44569897651672363)","('s', 'UP', 0.5336060523986816)","('W', 'DOWN', 0.7345540523529053)","('W', 'UP', 0.7998278141021729)","('0', 'DOWN', 1.0444309711456299)","('0', 'UP', 1.1083428859710693)","('r', 'DOWN', 1.3418858051300049)","('r', 'UP', 1.4100441932678223)","('d', 'DOWN', 1.5066468715667725)","('d', 'UP', 1.6011450290679932)","('!', 'DOWN', 1.8134791851043701)","('!', 'UP', 1.8929131031036377)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.06028485298156738)","('a', 'DOWN', 0.09685087203979492)","('a', 'UP', 0.17979001998901367)","('s', 'DOWN', 0.28073906898498535)","('s', 'UP', 0.3407740592956543)","('s', 'DOWN', 0.41164112091064453)","('s', 'UP', 0.48715686798095703)","('W', 'DOWN', 0.6560349464416504)","('W', 'UP', 0.7118439674377441)","('0', 'DOWN', 0.87894606590271)","('0', 'UP', 0.9589061737060547)","('r', 'DOWN', 0.9986810684204102)","('r', 'UP', 1.0627808570861816)","('d', 'DOWN', 1.1549711227416992)","('d', 'UP', 1.251004934310913)","('!', 'DOWN', 1.4239799976348877)","('!', 'UP', 1.5203330516815186)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.09565019607543945)","('a', 'DOWN', 0.1986072063446045)","('a', 'UP', 0.3333702087402344)","('s', 'DOWN', 0.9549911022186279)","('s', 'UP', 1.0298922061920166)","('s', 'DOWN', 1.1267101764678955)","('s', 'UP', 1.1906931400299072)","('W', 'DOWN', 1.4050812721252441)","('W', 'UP', 1.4719021320343018)","('0', 'DOWN', 1.6013450622558594)","('0', 'UP', 1.6896703243255615)","('r', 'DOWN', 1.761507272720337)","('r', 'UP', 1.8184211254119873)","('d', 'DOWN', 1.917234182357788)","('d', 'UP', 2.0078673362731934)","('!', 'DOWN', 2.1102590560913086)","('!', 'UP', 2.1815083026885986)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.11589312553405762)","('a', 'DOWN', 0.13461923599243164)","('a', 'UP', 0.21887421607971191)","('s', 'DOWN', 0.3517723083496094)","('s', 'UP', 0.4071390628814697)","('s', 'DOWN', 0.4887232780456543)","('s', 'UP', 0.5882701873779297)","('W', 'DOWN', 0.940392255783081)","('W', 'UP', 1.0208492279052734)","('0', 'DOWN', 1.1577353477478027)","('0', 'UP', 1.224379301071167)","('r', 'DOWN', 1.2497851848602295)","('r', 'UP', 1.3181331157684326)","('d', 'DOWN', 1.4003372192382812)","('d', 'UP', 1.4843051433563232)","('!', 'DOWN', 1.6186621189117432)","('!', 'UP', 1.6939971446990967)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.09504508972167969)","('a', 'DOWN', 0.12256407737731934)","('a', 'UP', 0.19506621360778809)","('s', 'DOWN', 0.3429102897644043)","('s', 'UP', 0.40285325050354004)","('s', 'DOWN', 0.47847914695739746)","('s', 'UP', 0.5462162494659424)","('W', 'DOWN', 0.6700069904327393)","('W', 'UP', 0.7302021980285645)","('0', 'DOWN', 0.863800048828125)","('0', 'UP', 0.9351022243499756)","('r', 'DOWN', 0.9773731231689453)","('r', 'UP', 1.0333640575408936)","('d', 'DOWN', 1.107029914855957)","('d', 'UP', 1.187190055847168)","('!', 'DOWN', 1.335557222366333)","('!', 'UP', 1.4135620594024658)"
"('p', 'DOWN', 2.86102294921875e-06)","('p', 'UP', 0.0624699592590332)","('a', 'DOWN', 0.09139084815979004)","('a', 'UP', 0.17566680908203125)","('s', 'DOWN', 0.2840230464935303)","('s', 'UP', 0.34032297134399414)","('s', 'DOWN', 0.40668201446533203)","('s', 'UP', 0.502234935760498)","('W', 'DOWN', 0.6154270172119141)","('W', 'UP', 0.7028179168701172)","('0', 'DOWN', 0.793245792388916)","('0', 'UP', 0.8765659332275391)","('r', 'DOWN', 0.9161930084228516)","('r', 'UP', 0.9761641025543213)","('d', 'DOWN', 1.055387020111084)","('d', 'UP', 1.148141860961914)","('!', 'DOWN', 1.303459882736206)","('!', 'UP', 1.4157018661499023)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.06795907020568848)","('a', 'DOWN', 0.10723209381103516)","('a', 'UP', 0.20388007164001465)","('s', 'DOWN', 0.33711814880371094)","('s', 'UP', 0.38858604431152344)","('s', 'DOWN', 0.46955394744873047)","('s', 'UP', 0.5495929718017578)","('W', 'DOWN', 0.6967771053314209)","('W', 'UP', 0.8174011707305908)","('0', 'DOWN', 0.9338171482086182)","('0', 'UP', 1.0381388664245605)","('r', 'DOWN', 1.0553202629089355)","('r', 'UP', 1.1149990558624268)","('d', 'DOWN', 1.191269874572754)","('d', 'UP', 1.2913119792938232)","('!', 'DOWN', 1.5118861198425293)","('!', 'UP', 1.600511074066162)"
"('p', 'DOWN', 2.6226043701171875e-06)","('p', 'UP', 0.07107877731323242)","('a', 'DOWN', 0.10341501235961914)","('a', 'UP', 0.19232892990112305)","('s', 'DOWN', 0.3451807498931885)","('s', 'UP', 0.39309167861938477)","('s', 'DOWN', 0.4666140079498291)","('s', 'UP', 0.5601058006286621)","('W', 'DOWN', 0.9219179153442383)","('W', 'UP', 1.0057940483093262)","('0', 'DOWN', 1.1482579708099365)","('0', 'UP', 1.2245397567749023)","('r', 'DOWN', 1.2740478515625)","('r', 'UP', 1.3340458869934082)","('d', 'DOWN', 1.4078187942504883)","('d', 'UP', 1.5078608989715576)","('!', 'DOWN', 1.6883656978607178)","('!', 'UP', 1.7843677997589111)"
"('p', 'DOWN', 3.814697265625e-06)","('p', 'UP', 0.07957887649536133)","('a', 'DOWN', 0.11535882949829102)","('a', 'UP', 0.19302701950073242)","('s', 'DOWN', 0.31118106842041016)","('s', 'UP', 0.35785698890686035)","('s', 'DOWN', 0.43341898918151855)","('s', 'UP', 0.5250780582427979)","('W', 'DOWN', 0.7030599117279053)","('W', 'UP', 0.7912168502807617)","('0', 'DOWN', 0.9414498805999756)","('0', 'UP', 1.0289700031280518)","('r', 'DOWN', 1.0616908073425293)","('r', 'UP', 1.1177978515625)","('d', 'DOWN', 1.2007689476013184)","('d', 'UP', 1.2888200283050537)","('!', 'DOWN', 1.6231727600097656)","('!', 'UP', 1.739269733428955)"
