"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.08619379997253418)","('a', 'DOWN', 0.1874098777770996)","('a', 'UP', 0.3000471591949463)","('s', 'DOWN', 0.3338429927825928)","('s', 'UP', 0.4912090301513672)","('s', 'DOWN', 0.9415321350097656)","('s', 'UP', 1.0535759925842285)","('W', 'DOWN', 1.6049280166625977)","('W', 'UP', 1.717649221420288)","('0', 'DOWN', 1.998683214187622)","('0', 'UP', 2.1000828742980957)","('r', 'DOWN', 2.1450018882751465)","('r', 'UP', 2.2349748611450195)","('d', 'DOWN', 2.3364500999450684)","('d', 'UP', 2.4485409259796143)","('!', 'DOWN', 2.6513540744781494)","('!', 'UP', 2.741309881210327)"
"('p', 'DOWN', 3.0994415283203125e-06)","('a', 'DOWN', 0.07893204689025879)","('p', 'UP', 0.10277915000915527)","('a', 'UP', 0.20250487327575684)","('s', 'DOWN', 0.2925088405609131)","('s', 'UP', 0.3713860511779785)","('s', 'DOWN', 0.44973301887512207)","('s', 'UP', 0.5512051582336426)","('W', 'DOWN', 0.8322539329528809)","('W', 'UP', 0.9335510730743408)","('0', 'DOWN', 1.2601029872894287)","('0', 'UP', 1.3611440658569336)","('r', 'DOWN', 1.5185790061950684)","('r', 'UP', 1.597311019897461)","('d', 'DOWN', 1.7661809921264648)","('d', 'UP', 1.8560597896575928)","('!', 'DOWN', 2.103811025619507)","('!', 'UP', 2.2389230728149414)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.07851505279541016)","('a', 'DOWN', 0.12346410751342773)","('a', 'UP', 0.2361278533935547)","('s', 'DOWN', 0.34875988960266113)","('s', 'UP', 0.4160130023956299)","('s', 'DOWN', 0.4948310852050781)","('s', 'UP', 0.5846590995788574)","('W', 'DOWN', 0.8212158679962158)","('W', 'UP', 0.9447999000549316)","('0', 'DOWN', 1.1362221240997314)","('0', 'UP', 1.2485589981079102)","('r', 'DOWN', 1.2935609817504883)","('r', 'UP', 1.3836100101470947)","('d', 'DOWN', 1.5411319732666016)","('d', 'UP', 1.6424517631530762)","('!', 'DOWN', 1.878633975982666)","('!', 'UP', 1.9576318264007568)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.10094690322875977)","('a', 'DOWN', 0.1350870132446289)","('a', 'UP', 0.22476601600646973)","('s', 'DOWN', 0.35997581481933594)","('s', 'UP', 0.47219395637512207)","('s', 'DOWN', 0.5624170303344727)","('s', 'UP', 0.6523940563201904)","('W', 'DOWN', 1.16988205909729)","('W', 'UP', 1.3046879768371582)","('0', 'DOWN', 1.4736120700836182)","('0', 'UP', 1.5970330238342285)","('r', 'DOWN', 1.6422898769378662)","('r', 'UP', 1.720918893814087)","('d', 'DOWN', 1.8450820446014404)","('d', 'UP', 1.9459278583526611)","('!', 'DOWN', 2.148577928543091)","('!', 'UP', 2.2721798419952393)"
"('p', 'DOWN', 2.86102294921875e-06)","('p', 'UP', 0.0896599292755127)","('a', 'DOWN', 0.12356209754943848)","('a', 'UP', 0.20216894149780273)","('s', 'DOWN', 0.31496405601501465)","('s', 'UP', 0.38219499588012695)","('s', 'DOWN', 0.46104001998901367)","('s', 'UP', 0.5510191917419434)","('W', 'DOWN', 0.7874059677124023)","('W', 'UP', 0.8890409469604492)","('0', 'DOWN', 1.214933156967163)","('0', 'UP', 1.3160340785980225)","('r', 'DOWN', 1.383681058883667)","('r', 'UP', 1.4960222244262695)","('d', 'DOWN', 1.721060037612915)","('d', 'UP', 1.8222439289093018)","('!', 'DOWN', 2.126136064529419)","('!', 'UP', 2.2498068809509277)"
"('p', 'DOWN', 3.814697265625e-06)","('p', 'UP', 0.08962702751159668)","('a', 'DOWN', 0.20241904258728027)","('a', 'UP', 0.31522202491760254)","('s', 'DOWN', 0.4387679100036621)","('s', 'UP', 0.5061631202697754)","('s', 'DOWN', 0.5737760066986084)","('s', 'UP', 0.6975870132446289)","('W', 'DOWN', 0.9451689720153809)","('W', 'UP', 1.0688998699188232)","('0', 'DOWN', 1.271254062652588)","('0', 'UP', 1.383795976638794)","('r', 'DOWN', 1.935136079788208)","('r', 'UP', 2.0024819374084473)","('d', 'DOWN', 2.204796075820923)","('d', 'UP', 2.3401739597320557)","('!', 'DOWN', 2.5650699138641357)","('!', 'UP', 2.6665380001068115)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.10129380226135254)","('a', 'DOWN', 0.12377691268920898)","('a', 'UP', 0.2251579761505127)","('s', 'DOWN', 0.32636499404907227)","('s', 'UP', 0.4161348342895508)","('s', 'DOWN', 0.48380494117736816)","('s', 'UP', 0.5963089466094971)","('W', 'DOWN', 0.8662238121032715)","('W', 'UP', 0.9674849510192871)","('0', 'DOWN', 1.1476061344146729)","('0', 'UP', 1.3054008483886719)","('r', 'DOWN', 1.3059918880462646)","('r', 'UP', 1.4175539016723633)","('d', 'DOWN', 1.5413031578063965)","('d', 'UP', 1.6540579795837402)","('!', 'DOWN', 2.058964967727661)","('!', 'UP', 2.1826260089874268)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.11231493949890137)","('a', 'DOWN', 0.12358689308166504)","('a', 'UP', 0.2023148536682129)","('s', 'DOWN', 0.31494903564453125)","('s', 'UP', 0.4047260284423828)","('s', 'DOWN', 0.4612090587615967)","('s', 'UP', 0.5734140872955322)","('W', 'DOWN', 1.237401008605957)","('W', 'UP', 1.3609540462493896)","('0', 'DOWN', 1.7661428451538086)","('0', 'UP', 1.9012048244476318)","('r', 'DOWN', 1.9686267375946045)","('r', 'UP', 2.069821834564209)","('d', 'DOWN', 2.193640947341919)","('d', 'UP', 2.3171048164367676)","('!', 'DOWN', 2.508732795715332)","('!', 'UP', 2.6107177734375)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.06736183166503906)","('a', 'DOWN', 0.12356209754943848)","('a', 'UP', 0.24729204177856445)","('s', 'DOWN', 0.37120699882507324)","('s', 'UP', 0.41596293449401855)","('s', 'DOWN', 0.4948079586029053)","('s', 'UP', 0.5848348140716553)","('W', 'DOWN', 0.9224710464477539)","('W', 'UP', 1.0232830047607422)","('0', 'DOWN', 1.3160278797149658)","('0', 'UP', 1.4172570705413818)","('r', 'DOWN', 1.4961199760437012)","('r', 'UP', 1.574753761291504)","('d', 'DOWN', 1.7212791442871094)","('d', 'UP', 1.811061143875122)","('!', 'DOWN', 2.069856882095337)","('!', 'UP', 2.182270050048828)"
"('p', 'DOWN', 2.86102294921875e-06)","('p', 'UP', 0.11236691474914551)","('a', 'DOWN', 0.1349029541015625)","('a', 'UP', 0.2362377643585205)","('s', 'DOWN', 0.33750391006469727)","('s', 'UP', 0.42727088928222656)","('s', 'DOWN', 0.4948430061340332)","('s', 'UP', 0.5734889507293701)","('W', 'DOWN', 0.7874786853790283)","('W', 'UP', 0.9110069274902344)","('0', 'DOWN', 1.0574898719787598)","('0', 'UP', 1.1810309886932373)","('r', 'DOWN', 1.2262179851531982)","('r', 'UP', 1.3159749507904053)","('d', 'DOWN', 1.4512128829956055)","('d', 'UP', 1.518631935119629)","('!', 'DOWN', 1.878532886505127)","('!', 'UP', 1.9576389789581299)"
